상가업소번호	상호명	지점명	상권업종대분류코드	상권업종대분류명	상권업종중분류코드	상권업종중분류명	상권업종소분류코드	상권업종소분류명	표준산업분류코드	표준산업분류명	시도코드	시도명	시군구코드	시군구명	행정동코드	행정동명	법정동코드	법정동명	지번코드	대지구분코드	대지구분명	지번본번지	지번부번지	지번주소	도로명코드	도로명	건물본번지	건물부번지	건물관리번호	건물명	도로명주소	구우편번호	신우편번호	동정보	층정보	호정보	경도	위도
28523933	처가방		Q	음식	Q10	별식/퓨전요리	Q10A02	샤브샤브전문	I56111	한식 음식점업	41	경기도	41135	성남시 분당구	4113565700	백현동	4113511000	백현동	4.11351E+18	1	대지	541		경기도 성남시 분당구 백현동 541	4.11354E+11	경기도 성남시 분당구 판교역로146번길	20		4.11351E+24	현대백화점판교점	경기도 성남시 분당구 판교역로146번길 20	463420	13529				127.1120708	37.39278456
20786763	백현		L	부동산	L01	부동산중개	L01A01	부동산중개	L68221	부동산 자문 및 중개업	41	경기도	41135	성남시 분당구	4113565700	백현동	4113511000	백현동	4.11351E+18	1	대지	556		경기도 성남시 분당구 백현동 556	4.11353E+11	경기도 성남시 분당구 판교역로	98		4.11351E+24	백현마을7단지아파트	경기도 성남시 분당구 판교역로 98	463887	13532		1		127.1107564	37.38933257
21987652	도미솔피아노		R	학문/교육	R05	학원-음악미술무용	R05A02	피아노/바이올린/기타	P85620	예술 학원	41	경기도	41135	성남시 분당구	4113565700	백현동	4113511000	백현동	4.11351E+18	1	대지	558		경기도 성남시 분당구 백현동 558	4.11353E+11	경기도 성남시 분당구 판교역로	72		4.11351E+24	백현마을8단지아파트	경기도 성남시 분당구 판교역로 72	463888	13536				127.1106265	37.38694374
15516859	그리너리네일		F	생활서비스	F01	이/미용/건강	F01A02	발/네일케어	S96119	기타미용업	41	경기도	41135	성남시 분당구	4113565700	백현동	4113511000	백현동	4.11351E+18	1	대지	582	8	경기도 성남시 분당구 백현동 582-8	4.11353E+11	경기도 성남시 분당구 판교역로	6	2	4.11351E+24		경기도 성남시 분당구 판교역로 6-2	463420	13536				127.1122331	37.38381105
28501265	큰집쭈꾸미보리밥		Q	음식	Q03	일식/수산물	Q03A13	낙지/오징어	I56111	한식 음식점업	41	경기도	41135	성남시 분당구	4113565000	판교동	4113511000	백현동	4.11351E+18	1	대지	504	3	경기도 성남시 분당구 백현동 504-3	4.11353E+11	경기도 성남시 분당구 판교백현로	87		4.11351E+24		경기도 성남시 분당구 판교백현로 87	463410	13541		1		127.0895635	37.38339541
28523869	바비브라운	현대백화점판교점	D	소매	D16	화장품소매	D16A01	화장품판매점	G47813	화장품 및 방향제 소매업	41	경기도	41135	성남시 분당구	4113565700	백현동	4113511000	백현동	4.11351E+18	1	대지	541		경기도 성남시 분당구 백현동 541	4.11354E+11	경기도 성남시 분당구 판교역로146번길	20		4.11351E+24	현대백화점판교점	경기도 성남시 분당구 판교역로146번길 20	463420	13529				127.1120708	37.39278456
20982407	제이드앤코		D	소매	D07	가정/주방/인테리어	D07A02	주방용품	G47592	식탁 및 주방용품 소매업	41	경기도	41135	성남시 분당구	4113565700	백현동	4113511000	백현동	4.11351E+18	1	대지	605	7	경기도 성남시 분당구 백현동 605-7	4.11354E+11	경기도 성남시 분당구 동판교로52번길	13	7	4.11351E+24		경기도 성남시 분당구 동판교로52번길 13-7	463420	13535				127.1152114	37.38693308
25279976	머시주스		Q	음식	Q12	커피점/카페	Q12A01	커피전문점/카페/다방	I56220	비알콜 음료점업	41	경기도	41135	성남시 분당구	4113565700	백현동	4113511000	백현동	4.11351E+18	1	대지	541		경기도 성남시 분당구 백현동 541	4.11354E+11	경기도 성남시 분당구 판교역로146번길	20		4.11351E+24		경기도 성남시 분당구 판교역로146번길 20	463420	13529		1		127.1136048	37.38911067
20998490	주주플라워		D	소매	D02	선물/팬시/기념품	D02A02	꽃집/꽃배달	G47851	화초 및 산식물 소매업	41	경기도	41135	성남시 분당구	4113565000	판교동	4113511000	백현동	4.11351E+18	1	대지	472	65	경기도 성남시 분당구 백현동 472-65	4.11353E+11	경기도 성남시 분당구 대왕판교로	411		4.11351E+24		경기도 성남시 분당구 대왕판교로 411	463410	13543				127.1017039	37.3804336
24611605	아우토제이		F	생활서비스	F14	자동차/이륜차	F14A01	자동차정비/카센타			41	경기도	41135	성남시 분당구	4113565700	백현동	4113511000	백현동	4.11351E+18	1	대지	588	7	경기도 성남시 분당구 백현동 588-7	4.11354E+11	경기도 성남시 분당구 동판교로52번길	25	13	4.11351E+24		경기도 성남시 분당구 동판교로52번길 25-13	463420	13535				127.1137507	37.38535427
